Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
A,Common Stock,Agilent Technologies Inc,"Agilent Technologies, Inc. is an American analytical instrumentation development and manufacturing company that offers its products and services to markets worldwide. Its global headquarters is located in Santa Clara, California.",1090872,NYSE,USD,USA,LIFE SCIENCES,INSTRUMENTS FOR MEAS & TESTING OF ELECTRICITY & ELEC SIGNALS,"5301 STEVENS CREEK BLVD, SANTA CLARA, CA, US",October,2022-01-31,35794477000,1787000000,30.26,2.383,17.16,0.792,0.007,3.941,21.29,0.187,0.227,0.0912,0.242,6445000000,3407000000,3.941,0,0.081,173.35,30.26,24.63,5.55,6.95,5.8,21.03,1.052,178.83,116.49,130.79,149.52,300113000,2022-04-27,2022-04-04
ABBV,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",December,2021-12-31,259431203000,28050000000,22.77,1.279,8.71,5.31,0.0384,6.45,31.75,0.205,0.347,0.0822,0.809,56197001000,38883000000,6.45,248.9,0.074,163.99,22.77,10.41,4.617,16.84,5.81,13.63,0.785,174.43,102.35,156.41,129.69,1766280000,2022-05-16,2022-04-14
ABC,Common Stock,AmerisourceBergen Corporation,AmerisourceBergen Corporation is an American drug wholesale company that was formed by the merger of Bergen Brunswig and AmeriSource in 2001.,1140859,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","1300 MORRIS DRIVE, CHESTERBROOK, PA, US",September,2021-12-31,31640334000,3351327000,19.62,1.691,1.155,1.78,0.0117,7.71,1068.7,0.0073,0.0125,0.0335,0.361,221101097000,6774434000,7.71,0.177,0.135,166.91,19.62,14.04,0.143,130.99,0.159,11.39,0.464,167.19,110.17,152.5,131.92,209137000,2022-02-28,2022-02-11
ABMD,Common Stock,Abiomed Inc,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",815094,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"22 CHERRY HILL DRIVE, DANVERS, MA, UNITED STATES",March,2022-03-31,13044031000,280839000,98.52,2.75,31.48,0,0,2.909,22.11,0.133,0.253,0.105,0.0988,1003148000,685615000,2.909,-0.259,0.127,354.17,98.52,-,13.0,8.68,12.25,43.55,1.325,379.3,261.27,307.35,326.64,45516200,None,None
ABT,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,2022-03-31,198973456000,12756000000,28.64,6.87,20.3,1.82,0.0166,3.94,24.27,0.164,0.214,0.078,0.205,43074998000,25009000000,3.94,-0.075,0.072,141.77,28.64,23.42,4.619,5.59,4.693,18.0,0.734,141.53,103.78,119.0,124.69,1763480000,2022-05-16,2022-04-13
ALGN,Common Stock,Align Technology Inc,"Align Technology is a manufacturer of 3D digital scanners and the Invisalign clear aligners used in orthodontics. It is headquartered in San Jose, California.",1097149,NASDAQ,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","2820 ORCHARD PARKWAY, SAN JOSE, CA, US",December,2022-03-31,24341350000,1085129000,31.88,1.377,46.03,0,0,9.69,50.09,0.195,0.247,0.113,0.225,3952584000,2935355000,9.69,0.208,0.236,491.91,31.88,24.63,6.16,6.23,5.44,23.12,1.606,737.45,270.37,426.22,580.74,78805000,None,None
AMGN,Common Stock,Amgen Inc,"Amgen Inc. (formerly Applied Molecular Genetics Inc.) is an American multinational biopharmaceutical company headquartered in Thousand Oaks, California. Focused on molecular biology and biochemistry, its goal is to provide a healthcare business based on recombinant DNA technology.",318154,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","ONE AMGEN CENTER DRIVE, THOUSAND OAKS, CA, US",December,2022-03-31,124570100000,12582000000,22.68,1.39,12.0,7.04,0.0333,10.28,45.58,0.227,0.359,0.0941,0.732,25979001000,19525000000,10.28,0.217,0.032,248.99,22.68,13.12,4.795,135.94,5.88,20.04,0.591,258.45,196.95,238.53,225.07,534000000,2022-06-08,2022-05-16
ANTM,Common Stock,Anthem Inc,"Anthem, Inc., is a provider of health insurance in the United States. It is the largest for-profit managed health care company in the Blue Cross Blue Shield Association.",1156039,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN, US",December,2022-03-31,121007792000,9774000000,20.3,1.534,149.15,4.52,0.0099,24.73,568.67,0.044,0.0646,0.0608,0.176,138642997000,35998000000,24.73,1.111,0.15,563.2,20.3,17.61,0.873,3.364,0.957,-,1.052,533.68,353.45,483.8,429.41,241085000,2022-06-24,2022-06-09
BAX,Common Stock,Baxter International Inc,"Baxter International Inc. is an American multinational health care company with headquarters in Deerfield, Illinois. The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. ",10456,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE BAXTER PKWY, DF2-1W, DEERFIELD, IL, US",December,2022-03-31,35554181000,2981000000,27.91,1.384,18.1,1.085,0.0158,2.53,25.47,0.1,0.164,0.0488,0.145,12784000000,5250000000,2.53,0.456,0.105,92.73,27.91,16.56,2.781,3.942,3.776,20.21,0.596,89.41,69.72,78.68,80.46,503197000,2022-04-01,2022-02-24
BDX,Common Stock,Becton Dickinson and Company,"Becton, Dickinson and Company, also known as BD, is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain geographies.",10795,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE BECTON DR, FRANKLIN LAKES, NJ, US",September,2021-12-31,69909504000,5267000000,42.65,3.121,84.83,3.36,0.0141,5.76,69.24,0.0886,0.15,0.0346,0.0723,19928001000,9576000000,5.76,-0.319,-0.06,289.75,42.65,19.16,3.508,2.913,4.31,18.95,0.652,277.29,227.8,260.71,249.17,284671000,2022-06-30,2022-06-08
